Sl. No.,Component Name,Component Model,Number of components per unit,Component Price Per Unit (BDT),Component Price Per Unit (USD),Required amount of components,Buying Unit,Buying Price(BDT),Buying Price(USD),Components Buying URL
1,Micro Controller Board,ESP 8266 WeMos D1 Mini,1,350,2.85,1,1,350,2.85,https://store.roboticsbd.com/development-boards/2652-wemos-d1-mini-nodemcu-robotics-bangladesh.html
2,Connector 1,JST 2 Pin Male,10,85,0.69,2,1,85,0.69,https://www.daraz.com.bd/products/10-2-jst-xh-2-254mm-pcb-diy-i143574280-s1067884855.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Ajst%252Bconnector%252B2%252Bpin%253Bnid%253A143574280%253Bsrc%253ALazadaMainSrp%253Brn%253A257e6cca0cef4e295f9770cd02cb6e8e%253Bregion%253Abd%253Bsku%253A143574280_BD%253Bprice%253A85%253Bclient%253Adesktop%253Bsupplier_id%253A700507287024%253Bsession_id%253A%253Bbiz_source%253Ahttps%253A%252F%252Fwww.daraz.com.bd%252F%253Bslot%253A5%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000485%253Bitem_id%253A143574280%253Bsku_id%253A1067884855%253Bshop_id%253A94590%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=85&priceCompare=skuId%3A1067884855%3Bsource%3Alazada-search-voucher%3Bsn%3A257e6cca0cef4e295f9770cd02cb6e8e%3BoriginPrice%3A8500%3BdisplayPrice%3A8500%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1780388344669&ratingscore=4.666666666666667&request_id=257e6cca0cef4e295f9770cd02cb6e8e&review=57&sale=280&search=1&source=search&spm=a2a0e.searchlist.list.5&stock=1
3,Connector 2 ,JST 2 Pin Female Cable,3,105,0.85,2,1,105,0.85,https://www.daraz.com.bd/products/3-2-f-o-2-254mm-jst-xh-27cm-diy-i145620356-s1071012613.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A145620356%253Bsrc%253AlazadaInShopSrp%253Brn%253A2df1848be770759bb2d3cbaa8a920084%253Bregion%253Abd%253Bsku%253A145620356_BD%253Bprice%253A105%253Bclient%253Adesktop%253Bsupplier_id%253A700507287024%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A36%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000485%253Bitem_id%253A145620356%253Bsku_id%253A1071012613%253Bshop_id%253A94590%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=105&priceCompare=skuId%3A1071012613%3Bsource%3Alazada-search-voucher-in-shop%3Bsn%3A2df1848be770759bb2d3cbaa8a920084%3BoriginPrice%3A10500%3BdisplayPrice%3A10500%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1780390579447&ratingscore=4.75&request_id=2df1848be770759bb2d3cbaa8a920084&review=24&sale=119&search=1&spm=a2a0e.store_product.list.36&stock=1
4, Connector 3,JST 8 Pin Male ,2,66,0.54,1,1,66,0.54,https://www.daraz.com.bd/products/2-8-jst-xh-8-254mm-pcb-diy-i141206726-s1064872419.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A8%252Bpin%252Bjst%253Bnid%253A141206726%253Bsrc%253ALazadaMainSrp%253Brn%253A74667e984f491c288b3d6bbd1387333a%253Bregion%253Abd%253Bsku%253A141206726_BD%253Bprice%253A66%253Bclient%253Adesktop%253Bsupplier_id%253A700507287024%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000485%253Bitem_id%253A141206726%253Bsku_id%253A1064872419%253Bshop_id%253A94590%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=66&priceCompare=skuId%3A1064872419%3Bsource%3Alazada-search-voucher%3Bsn%3A74667e984f491c288b3d6bbd1387333a%3BoriginPrice%3A6600%3BdisplayPrice%3A6600%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1780389142104&ratingscore=4.833333333333333&request_id=74667e984f491c288b3d6bbd1387333a&review=6&sale=26&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1
5,Resistor R1,1K Ohm,0,0,0,1,0,0,0,I already have them
6,Resistor R2,100 Ohm,0,0,0,1,0,0,0,I already have them
7,Transistor ,NPN 2N222,0,0,0,1,0,0,0,I already have them
8,Switch,Push Switch,10,96,0.78,1,1,96,0.78,https://www.daraz.com.bd/products/2-30v-1a-10pcs-i145622836-s1071034187.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A145622836%253Bsrc%253AlazadaInShopSrp%253Brn%253A1c045518deb50e5dd37b18fb5672dad1%253Bregion%253Abd%253Bsku%253A145622836_BD%253Bprice%253A96%253Bclient%253Adesktop%253Bsupplier_id%253A700507287024%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A28%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000486%253Bitem_id%253A145622836%253Bsku_id%253A1071034187%253Bshop_id%253A94590%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=96&priceCompare=skuId%3A1071034187%3Bsource%3Alazada-search-voucher-in-shop%3Bsn%3A1c045518deb50e5dd37b18fb5672dad1%3BoriginPrice%3A9600%3BdisplayPrice%3A9600%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1780389848264&ratingscore=4.625&request_id=1c045518deb50e5dd37b18fb5672dad1&review=11&sale=62&search=1&spm=a2a0e.store_product.list.28&stock=1
9,Charging Module,TP4056 Type C module,1,64,0.52,1,1,64,0.52,https://www.daraz.com.bd//products/i152828841-s1080964091.html?spm=a2o42.cart.0.0.55162829sqWOTm&urlFlag=true
10,Keypad,4x4 Membrane Keypad,1,124,1.01,1,1,124,1.01,https://www.daraz.com.bd/products/44-keypad-keyboard-44-membrane-switches-matrix-keypad-16-key-thin-flexible-with-cables-connector-keypad-44-for-arduino-i328135962-s1601225251.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A328135962%253Bsrc%253AlazadaInShopSrp%253Brn%253Ad7b6e4ac8289c49a15e5371b60ec02cf%253Bregion%253Abd%253Bsku%253A328135962_BD%253Bprice%253A124%253Bclient%253Adesktop%253Bsupplier_id%253A700507287024%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A36%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000486%253Bitem_id%253A328135962%253Bsku_id%253A1601225251%253Bshop_id%253A94590%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=124&priceCompare=skuId%3A1601225251%3Bsource%3Alazada-search-voucher-in-shop%3Bsn%3Ad7b6e4ac8289c49a15e5371b60ec02cf%3BoriginPrice%3A12400%3BdisplayPrice%3A12400%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1780391032293&ratingscore=&request_id=d7b6e4ac8289c49a15e5371b60ec02cf&review=&sale=16&search=1&spm=a2a0e.store_product.list.36&stock=1
